External Quantum Efficiency	v1.4.6619.21818
Date Time:	Wednesday, 14 March 2018 11:35:07
Dimensions:	2
TotalSteps:	55
SourceFile 	D:\users\nanoscalesolar\Documents\Harshal\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Wavelength from 630 to 730 [nm] in 11 steps
>	Repeat 5 times

Operations:
>	LockIn Sensitivity Tracker
>	Delay [1000 ms]
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Wavelength	nm	1	11	R	{From=630,To=730}
>	Repeat	x	0	5	R	{From=0,To=4}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 750 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 630.0 nm	Frequency: 93.661 MHz	Power: 5000

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	5 mV
FilterTimeConstant:   	100 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	895.3
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	1 µA
FilterTimeConstant:   	100 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	895.29
DetectionHarmonic:    	1
InputCoupling:        	DC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	500 nV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	895.309
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Wavelength [nm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
0	630.0	0	8.855726E-004	-0.06	1.985482E-007	-0.06	5.588516E-007	0.92
1	630.0	1	8.864720E-004	-0.06	1.986350E-007	-0.06	3.089258E-007	2.36
2	630.0	2	8.847390E-004	-0.06	1.982867E-007	-0.06	1.496094E-007	-0.58
3	630.0	3	8.840851E-004	-0.06	1.981102E-007	-0.06	3.002593E-007	-2.53
4	630.0	4	8.835421E-004	-0.06	1.979944E-007	-0.06	1.206542E-006	2.70
5	640.0	0	9.246124E-004	-0.06	2.012573E-007	-0.06	9.360094E-007	-1.64
6	640.0	1	9.248510E-004	-0.06	2.012863E-007	-0.06	2.783908E-007	2.09
7	640.0	2	9.250886E-004	-0.06	2.013152E-007	-0.06	1.598175E-007	-2.58
8	640.0	3	9.253272E-004	-0.06	2.013731E-007	-0.06	5.622425E-007	2.74
9	640.0	4	9.244936E-004	-0.06	2.011984E-007	-0.06	1.982344E-007	-1.15
10	650.0	0	1.011461E-003	-0.06	2.200398E-007	-0.06	8.507702E-007	-0.15
11	650.0	1	1.011820E-003	-0.06	2.200995E-007	-0.06	1.224935E-007	0.08
12	650.0	2	1.011574E-003	-0.06	2.200398E-007	-0.06	3.774227E-007	-1.20
13	650.0	3	1.011454E-003	-0.06	2.200398E-007	-0.06	5.116971E-007	1.10
14	650.0	4	1.010855E-003	-0.06	2.199231E-007	-0.06	5.171760E-007	-1.26
15	660.0	0	1.219244E-003	-0.06	2.698129E-007	-0.06	3.089307E-007	-2.36
16	660.0	1	1.219364E-003	-0.06	2.698129E-007	-0.06	2.762739E-007	-1.59
17	660.0	2	1.217690E-003	-0.06	2.694329E-007	-0.06	1.160591E-007	2.40
18	660.0	3	1.217922E-003	-0.06	2.694311E-007	-0.06	6.251834E-007	-3.08
19	660.0	4	1.216741E-003	-0.06	2.692003E-007	-0.06	5.065823E-007	-1.54
20	670.0	0	1.480619E-003	-0.06	3.138028E-007	-0.06	3.527983E-007	-2.56
